user_id,date,track,artist,album,,,,,,,,
000Silenced,1.30E+12,Price Tag,Jessie J,Who You Are,,,,,,,,
000Silenced,1.30E+12,Price Tag (Acoustic Version),Jessie J,Price Tag,,,,,,,,
000Silenced,1.30E+12,Be Mine! (Ballad Version),Robyn,Be Mine!,,,,,,,,
000Silenced,1.30E+12,Acapella,Kelis,Acapella,,,,,,,,
000Silenced,1.30E+12,I'm Not Invisible,The Tease,I'm Not Invisible,,,,,,,,
000Silenced,1.30E+12,Bounce (Feat NORE + ISIS),MSTRKRFT,Fist of God,,,,,,,,
000Silenced,1.29E+12,Don't Stop The Music (Wideboys Bassline Mix),Rihanna,Addicted 2 Bassline CD1,,,,,,,,
000Silenced,1.29E+12,ObZen,Meshuggah,ObZen,,,,,,,,
000Silenced,1.29E+12,Yama's Messengers,Gojira,The Way of All Flesh,,,,,,,,
000Silenced,1.29E+12,On the Brink of Extinction,Napalm Death,Time Waits For No Slave,,,,,,,,
000Silenced,1.29E+12,On the Brink of Extinction,Napalm Death,Time Waits For No Slave,,,,,,,,
000Silenced,1.29E+12,In Deference,Napalm Death,Smear Campaign,,,,,,,,
000Silenced,1.29E+12,Post(?)organic,Decapitated,Organic Hallucinosis,,,,,,,,
000Silenced,1.29E+12,Mind Feeders,Dom & Roland,No Strings Attached,,,,,,,,
000Silenced,1.29E+12,Necrosadistic Warning,Cannibal Corpse,Kill,,,,,,,,
000Silenced,1.29E+12,Dance All Night,Dom & Roland,Chronology,,,,,,,,
000Silenced,1.29E+12,Late Night,Dom & Roland,Chronology,,,,,,,,
000Silenced,1.29E+12,Freak Seen,Dom & Roland,Chronology,,,,,,,,
000Silenced,1.29E+12,Paradrenasite (Hive remix),Dom & Roland,Chronology,,,,,,,,
000Silenced,1.29E+12,Rhino,Dom & Roland,Chronology,,,,,,,,
000Silenced,1.29E+12,Future Life,Dom & Roland,Chronology,,,,,,,,
000Silenced,1.29E+12,Break Out,Dom & Roland,Chronology,,,,,,,,
000Silenced,1.29E+12,Moulin Rouge [Dieselboy, Kaos & Karl K Remix],Dom & Roland,Chronology,,,,,,,
000Silenced,1.29E+12,I 4 an I,Dom & Roland,Chronology,,,,,,,,
000Silenced,1.29E+12,Just So You Know,Dom & Roland,Chronology,,,,,,,,
000Silenced,1.29E+12,Ethnicity,Dom & Roland,Chronology,,,,,,,,
000Silenced,1.29E+12,The Nephilim Rising,Behemoth,Demigod,,,,,,,,
000Silenced,1.29E+12,Conquer All,Behemoth,Demigod,,,,,,,,
000Silenced,1.29E+12,Mars (Jack Beats Remix),Fake Blood,Addicted to Bass 2010 [Disc 1],,,,,,,,
000Silenced,1.29E+12,Disturbia,Rihanna,Good Girl Gone Bad: The Remixes,,,,,,,,
000Silenced,1.29E+12,Upside Down,Paloma Faith,Upside Down,,,,,,,,
000Silenced,1.28E+12,Smartbomb (Plump DJs mix),BT,Still Life in Motion,,,,,,,,
000Silenced,1.28E+12,Two Lives' Worth Of Reckoning,Soilwork,Terrorizer: Fear Candy 82,,,,,,,,
000Silenced,1.28E+12,The Darkest Day of Man,Whitechapel,Terrorizer: Fear Candy 82,,,,,,,,
000Silenced,1.28E+12,On a Wicked Night,Danzig,Terrorizer: Fear Candy 82,,,,,,,,
000Silenced,1.28E+12,'Premacy,LFO,Sheath,,,,,,,,
000Silenced,1.28E+12,Nevertheless,LFO,Sheath,,,,,,,,
000Silenced,1.28E+12,Mummy, I've Had an Accident,LFO,Sheath,,,,,,,
000Silenced,1.28E+12,Freak,LFO,Sheath,,,,,,,,
000Silenced,1.28E+12,Sleepy Chicken,LFO,Sheath,,,,,,,,
000Silenced,1.28E+12,Unafraid to Linger,LFO,Sheath,,,,,,,,
000Silenced,1.28E+12,Moistly,LFO,Sheath,,,,,,,,
000Silenced,1.28E+12,Snot,LFO,Sheath,,,,,,,,
000Silenced,1.28E+12,Mokeylips,LFO,Sheath,,,,,,,,
000Silenced,1.28E+12,Mum-Man,LFO,Sheath,,,,,,,,
000Silenced,1.28E+12,Blown,LFO,Sheath,,,,,,,,
000Silenced,1.28E+12,Tough At The Top (Timecode Remix Pre VIP),E-Z Rollers,Tough at the Top,,,,,,,,
000Silenced,1.28E+12,Tough at the Top (instrumental),E-Z Rollers,Tough at the Top,,,,,,,,
000Silenced,1.28E+12,Tough at the Top (Timecode Remix Vip),E-Z Rollers,Tough at the Top,,,,,,,,
000Silenced,1.28E+12,Tough At The Top (origin unknown remix),E-Z Rollers,Tough at the Top,,,,,,,,
000Silenced,1.28E+12,Who's Your Daddy?,Benny Benassi,Best Of Benny Benassi,,,,,,,,
000Silenced,1.28E+12,Aero Dynamik,Kraftwerk,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Break Ya Self (Wipeout Remix),B Phreak & Groove Allegiance (Splank),Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Chemical,Mave Ya! & Steve Lavers,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,City Lights (Martin Buttich Remix),Loco Dice,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Exceeder (Special Mix),Mason,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Fenix Funk 5 (Wipeout Edit),Aphex Twin,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Flat Out,Dopamine,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Frontline,Ed Rush, Optical & Matrix,Wipeout Pulse,,,,,,,
000Silenced,1.28E+12,Sea of Sand (WipeOut Mix),Shlomi Aber & Guy Gerber,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Seven Stitches,Noisia,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Singshot (Wipeout Mix),Rennie Pilgrem & BLIM,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Smart Systems,Mist,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Steady Rush,Booka Shade,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Suspicious Thoughts,Skream,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,Tokyo,Stanton Warriors,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,X-Project (100% Pure mix),DJ Fresh,Wipeout Pulse,,,,,,,,
000Silenced,1.28E+12,I Like To Move It - Reel 2 Real,Compilation 90's Dancefloor,90's Dancefloor (Digital version),,,,,,,,
000Silenced,1.28E+12,Dream,Dizzee Rascal,Showtime,,,,,,,,
000Silenced,1.28E+12,Just Lose It [Explicit],Eminem,Just Lose It [Explicit],,,,,,,,
000Silenced,1.28E+12,Away In A Manger,Bing Crosby,Christmas [Disc 2],,,,,,,,
000Silenced,1.28E+12,B+W Stripes,Aphex Twin,Selected Ambient Works Volume II [Disc 2],,,,,,,,
000Silenced,1.28E+12,Without Me (Mechanical Resistance Techno Remix),Eminem,NOISEPORNCOM,,,,,,,,
000Silenced,1.28E+12,Caramelldansen,Caramell,Dance Mania Party [Disc 1],,,,,,,,
000Silenced,1.28E+12,Caramelldansen,Caramell,Dance Mania Party [Disc 1],,,,,,,,
000Silenced,1.27E+12,The Pills Won't Help You Now,The Chemical Brothers,Sunday Times-The Chemical Brothers,,,,,,,,
000Silenced,1.27E+12,Swoon,The Chemical Brothers,Sunday Times-The Chemical Brothers,,,,,,,,
000Silenced,1.27E+12,Afrika Shox,Leftfield,Vanilla Sky,,,,,,,,
000Silenced,1.27E+12,Flaming June,BT,R&R (Rare & Remixed) [Disc 2],,,,,,,,
000Silenced,1.27E+12,I Love You (BT Mix),Sarah McLachlan,R&R (Rare & Remixed) [Disc 2],,,,,,,,
000Silenced,1.27E+12,Run To You (BT vs PVD Mix),Dina Carroll,R&R (Rare & Remixed) [Disc 2],,,,,,,,
000Silenced,1.27E+12,Never Gonna Come Back Down (Timo Maas Mix),BT,R&R (Rare & Remixed) [Disc 2],,,,,,,,
000Silenced,1.27E+12,Blue Skies,BT,R&R (Rare & Remixed) [Disc 2],,,,,,,,
000Silenced,1.27E+12,Dreaming (Science Dept's Friends & Family Mix),BT,R&R (Rare & Remixed) [Disc 2],,,,,,,,
000Silenced,1.27E+12,Godspeed (Hybrid Mix),BT,R&R (Rare & Remixed) [Disc 2],,,,,,,,
000Silenced,1.27E+12,The Hip Hop Phenomenon,Tsunami One & BT,R&R (Rare & Remixed) [Disc 2],,,,,,,,
000Silenced,1.27E+12,Fibonacci Sequence,BT,R&R (Rare & Remixed) [Disc 2],,,,,,,,
